obsnme,obsval,ROW,COLUMN,TIME,spec
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:45_time:60_spec:ctet,0.0,124,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:122_j:40_time:60_spec:ctet,0.0,122,40,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:120_j:40_time:60_spec:ctet,0.0,120,40,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:116_j:41_time:60_spec:ctet,0.0,116,41,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:114_j:71_time:60_spec:ctet,0.0,114,71,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:60_spec:ctet,0.0,124,78,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:83_time:60_spec:ctet,0.0,124,83,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:125_j:75_time:60_spec:ctet,0.0,125,75,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:123_j:79_time:60_spec:ctet,0.0,123,79,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:60_spec:ctet,0.0,124,77,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:80_time:60_spec:ctet,0.0,127,80,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:80_time:60_spec:ctet,0.0,126,80,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:126_j:82_time:60_spec:ctet,0.0,126,82,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:60_spec:ctet,0.0,124,77,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:77_time:60_spec:ctet,0.0,124,77,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:127_j:83_time:60_spec:ctet,0.0,127,83,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:124_j:78_time:60_spec:ctet,0.0,124,78,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:135_j:64_time:60_spec:ctet,0.0,135,64,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:142_j:63_time:60_spec:ctet,0.0,142,63,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:144_j:68_time:60_spec:ctet,0.0,144,68,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:78_j:91_time:60_spec:ctet,0.0,78,91,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:71_time:60_spec:ctet,0.0,72,71,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:77_j:63_time:60_spec:ctet,0.0,77,63,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:83_j:80_time:60_spec:ctet,0.0,83,80,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:75_j:62_time:60_spec:ctet,0.0,75,62,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:45_time:60_spec:ctet,0.0,72,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:118_j:128_time:60_spec:ctet,0.0,118,128,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:108_j:113_time:60_spec:ctet,0.0,108,113,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:76_j:84_time:60_spec:ctet,0.0,76,84,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:101_j:112_time:60_spec:ctet,0.0,101,112,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:93_j:112_time:60_spec:ctet,0.0,93,112,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:93_j:112_time:60_spec:ctet,0.0,93,112,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:87_j:111_time:60_spec:ctet,0.0,87,111,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:79_j:110_time:60_spec:ctet,0.0,79,110,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:79_j:110_time:60_spec:ctet,0.0,79,110,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:72_j:107_time:60_spec:ctet,0.0,72,107,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:68_j:45_time:60_spec:ctet,0.0,68,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:66_j:45_time:60_spec:ctet,0.0,66,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:64_j:45_time:60_spec:ctet,0.0,64,45,60,ctet
oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:60_spec:ctet,0.0,60,95,60,ctet
