,obsval,obsnme,weight,time,i,j,wellname,obgnme,standard_deviation,datetime
78,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2588_spec:ctet,0.001,2588,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-01-31
79,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2616_spec:ctet,0.001,2616,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-02-28
80,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2647_spec:ctet,0.001,2647,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-03-31
81,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2677_spec:ctet,0.001,2677,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-04-30
82,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2708_spec:ctet,0.001,2708,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-05-31
83,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2738_spec:ctet,0.001,2738,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-06-30
84,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2769_spec:ctet,0.001,2769,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-07-31
85,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2800_spec:ctet,0.001,2800,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-08-31
86,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2830_spec:ctet,0.001,2830,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-09-30
87,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2861_spec:ctet,0.001,2861,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-10-31
88,0.0,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2891_spec:ctet,0.001,2891,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-11-30
89,1.082367528,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2922_spec:ctet,0.001,2922,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2019-12-31
90,1.155605439,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2953_spec:ctet,0.001,2953,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-01-31
91,1.118049532,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:2982_spec:ctet,0.001,2982,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-02-29
92,1.200289318,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3013_spec:ctet,0.001,3013,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-03-31
93,1.158724759,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3043_spec:ctet,0.001,3043,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-04-30
94,1.1470386,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3074_spec:ctet,0.001,3074,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-05-31
95,1.133329605,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3104_spec:ctet,0.001,3104,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-06-30
96,1.157730776,oname:sim_equiv_mass_ext.csv_otype:lst_usecol:obsval_i:60_j:95_time:3135_spec:ctet,0.001,3135,60,95,699-48-70,oname:sim_equiv_mass_ext.csv_spec:ctet,8.0,2020-07-31
