WELL_NAME         WELL_ID         X         Y         TOP         BOT         ROW         COLUMN         delx         dely         area
299-W15-4         A4929         566826.250         136027.672         178.164         155.304         34         46         200.0000         200.0000         40000.0000
299-W15-763         C3339         566809.188         136028.766         137.634         126.944         34         46         200.0000         200.0000         40000.0000
299-W13-1         C4238         568148.750         136048.594         103.652         92.991         34         52         200.0000         200.0000         40000.0000
299-E23-1         A4747         574043.375         136016.547         123.894         117.941         34         82         200.0000         200.0000         40000.0000
299-E24-20         A4756         575251.125         136049.406         124.892         118.461         34         88         200.0000         200.0000         40000.0000
299-E24-19         A4754         575316.938         136003.516         126.432         120.827         34         88         200.0000         200.0000         40000.0000
299-E24-22         C4123         575262.680         136142.820         123.049         112.366         34         88         200.0000         200.0000         40000.0000
299-E25-41         A4790         575466.063         136145.922         126.914         120.513         34         89         200.0000         200.0000         40000.0000
299-E25-93         C4122         575471.500         136022.094         122.461         111.783         34         89         200.0000         200.0000         40000.0000
299-E25-34         A4782         576019.063         136100.016         125.754         119.724         34         92         200.0000         200.0000         40000.0000
699-41-42         A5162         577122.063         136067.938         113.807         110.741         34         97         200.0000         200.0000         40000.0000
299-W15-20         A4924         566082.875         135964.188         145.982         139.581         35         42         200.0000         200.0000         40000.0000
299-W15-19         A4923         566189.063         135968.688         145.791         139.423         35         42         200.0000         200.0000         40000.0000
299-W15-23         A4926         566083.625         135858.125         146.665         140.356         35         42         200.0000         200.0000         40000.0000
299-W15-31A         B2471         566377.125         135856.109         142.899         130.728         35         43         200.0000         200.0000         40000.0000
299-W15-49         C4301         566307.200         135972.910         137.267         126.599         35         43         200.0000         200.0000         40000.0000
299-W15-224         C4986         566307.890         135926.080         137.410         126.742         35         43         200.0000         200.0000         40000.0000
299-W15-83         C4683         566304.520         135826.240         137.695         127.021         35         43         200.0000         200.0000         40000.0000
299-W15-10         A4916         566448.625         135981.141         151.820         117.652         35         44         200.0000         200.0000         40000.0000
