TIME,WELL_NAME,MASS_KG
1035,299-W12-2,13.32628574
1065,299-W12-2,10.56040614
1096,299-W12-2,7.76040737
1127,299-W12-2,17.34571905
1155,299-W12-2,13.77073792
1186,299-W12-2,17.54450548
1216,299-W12-2,15.5578981
1247,299-W12-2,15.99269537
1277,299-W12-2,15.29443661
1308,299-W12-2,15.55158706
1339,299-W12-2,14.9398956
1369,299-W12-2,13.2340941
1400,299-W12-2,14.61846639
1430,299-W12-2,13.91025098
1461,299-W12-2,14.13316677
1492,299-W12-2,14.09175429
1520,299-W12-2,10.67697509
1551,299-W12-2,10.26761559
1581,299-W12-2,9.90230731
1612,299-W12-2,11.8725743
1642,299-W12-2,11.89788861
1673,299-W12-2,13.5781237
1704,299-W12-2,12.16438644
1734,299-W12-2,12.62723063
1765,299-W12-2,10.76435912
1795,299-W12-2,12.48608869
1826,299-W12-2,13.46391456
1857,299-W12-2,13.15711211
1886,299-W12-2,12.19493211
1917,299-W12-2,13.05465013
1947,299-W12-2,9.962722456
